"","Sum.Sq","Mean.Sq","Df","F","Pr..F.","R2"
"empo_3.empo_3",108.592974939925,7.75664106713751,14,19.244340692355,0.001,0.22992801169926
"empo_3.Residuals",562.269940115713,0.403060888971837,1395,NA,NA,1.19051540341894
"empo_3.Total",670.862915055638,NA,1409,NA,NA,1.4204434151182
"trophic.trophic",26.4780876238518,5.29561752477035,5,11.5382092939869,0.001,0.0560630560523736
"trophic.Residuals",644.384827431787,0.458963552301842,1404,NA,NA,1.36438035906583
"trophic.Total",670.862915055638,NA,1409,NA,NA,1.4204434151182
"habitat.habitat",41.5162067321356,20.7581033660678,2,46.4078878141114,0.001,0.0879038342258897
"habitat.Residuals",629.346708323503,0.447296878694743,1407,NA,NA,1.33253958089231
"habitat.Total",670.862915055638,NA,1409,NA,NA,1.4204434151182
"site_code.site_code",50.4689529775141,3.88222715211647,13,8.73572187292197,0.001,0.10685982235115
"site_code.Residuals",620.393962078124,0.44440828229092,1396,NA,NA,1.31358359276705
"site_code.Total",670.862915055638,NA,1409,NA,NA,1.4204434151182
"grad_empo_3.empo_3",72.6144613085999,6.60131466441817,11,16.4010184798948,0.001,0.15374934445378
"grad_empo_3.Residuals",399.67673164949,0.402494190986394,993,NA,NA,0.84625065554622
"grad_empo_3.Total",472.291192958089,NA,1004,NA,NA,1
"grad_trophic.trophic",27.7362884212098,5.54725768424195,5,12.4657502819159,0.001,0.0587270921727119
"grad_trophic.Residuals",444.55490453688,0.444999904441321,999,NA,NA,0.941272907827288
"grad_trophic.Total",472.291192958089,NA,1004,NA,NA,1
"grad_habitat.habitat",9.86485762369772,9.86485762369772,1,21.3968181319386,0.001,0.0208872360331587
"grad_habitat.Residuals",462.426335334392,0.46104320571724,1003,NA,NA,0.979112763966842
"grad_habitat.Total",472.29119295809,NA,1004,NA,NA,1
"grad_site_code.site_code",11.8776286888189,1.97960478146982,6,4.29102382125178,0.001,0.025148952311446
"grad_site_code.Residuals",460.413564269271,0.461336236742756,998,NA,NA,0.974851047688554
"grad_site_code.Total",472.291192958089,NA,1004,NA,NA,1
