site,habitat,filename,H2_Zscore,H2_Pval,H2_emp,H2_sim_mean,h2_sim_sd,NODF_Zscore,NODF_Pval,NODF_emp,NODF_sim_mean,NODF_sim_sd
OutsideOcean,Marine,../split_data/habisite_Marine-OutsideOcean_empo_3.csv,-106.855846848286,0,7.37726594455332,7.69905828901813,0.00301146220778809,10.4236023763076,8.05364996374942e-26,22.3770795190719,21.6125517356379,0.0733458314921677
OutsideRocks,Marine,../split_data/habisite_Marine-OutsideRocks_empo_3.csv,-104.526265291123,0,7.81496154078929,8.1074979024195,0.00279868759125224,48.9719410090109,0,27.0437088416462,23.7408227684306,0.0674444591160442
SharksCove,Marine,../split_data/habisite_Marine-SharksCove_empo_3.csv,-72.5561331910239,0,8.31392858289343,8.50326346909958,0.00260949526772152,-1.15778991938982,0.123080514905423,28.4144995104703,28.5062872056269,0.0792783678795576
ThreeTablesBeach,Marine,../split_data/habisite_Marine-ThreeTablesBeach_empo_3.csv,-52.9213988362815,0,8.42167028995502,8.57578958988041,0.00291223027573732,17.0519457594684,1.03779399591571e-65,28.1531784051352,26.7895874762209,0.0799668816772522
TwinRocks,Marine,../split_data/habisite_Marine-TwinRocks_empo_3.csv,-97.8302140491422,0,7.89215845818418,8.14512197020208,0.00258574014660576,-18.8680068214347,5.75339549499276e-80,29.6470077043157,31.4228535734079,0.0941194205566399
UppersBeach,Marine,../split_data/habisite_Marine-UppersBeach_empo_3.csv,-55.8288122843559,0,8.53163298433244,8.67909070930206,0.00264124775247884,13.0604745088258,2.07844265689196e-39,26.8855836514522,26.033512443376,0.0652404480021256
WaimeaBay,Marine,../split_data/habisite_Marine-WaimeaBay_empo_3.csv,-21.5205010081694,2.30264861715083e-103,7.99584567912474,8.07713484728203,0.00377728976320896,19.8173009832807,5.46499026067545e-88,27.0580297392216,25.0966009365424,0.0989755771653268
Beach,Riverine,../split_data/habisite_Riverine-Beach_empo_3.csv,-131.182157868487,0,7.39073079668993,7.73718288773834,0.00264100009237336,-16.2967694739456,3.33123577298012e-60,28.5318915302267,29.5713349927961,0.0637821786846249
Confluence,Riverine,../split_data/habisite_Riverine-Confluence_empo_3.csv,4.04982655460507,2.48968504795781e-05,7.87970512250333,7.86349192853123,0.00400342922184285,70.6077408442099,0,23.845281171815,20.5005437207628,0.0473706906786906
DrumRoad,Riverine,../split_data/habisite_Riverine-DrumRoad_empo_3.csv,-33.47868311801,7.54373563049839e-247,7.43480137806971,7.5637580677382,0.00385190448542813,40.9007115981606,0,24.5224507505053,21.477288835187,0.0744525411987025
Entrance,Riverine,../split_data/habisite_Riverine-Entrance_empo_3.csv,-114.93313423069,0,7.50722039092828,7.77348843292612,0.00231672131609496,21.8911726346381,7.06213765008042e-107,-42.809668044647,-44.8678358261705,0.094018160464682
Estuary,Riverine,../split_data/habisite_Riverine-Estuary_empo_3.csv,-90.4524687071489,0,7.30941928285831,7.58297603327689,0.00302431491731038,-24.4086610771662,2.55068089141721e-132,18.5971424156843,19.9253759729009,0.0544164857309259
Ridge,Riverine,../split_data/habisite_Riverine-Ridge_empo_3.csv,4.04846703069658,2.50423488652764e-05,7.97540942383777,7.95929617155825,0.00398008731634671,-21.9130504783727,4.36221280440352e-107,28.4420246818844,30.6125332252447,0.0990509534718841
Waterfall,Riverine,../split_data/habisite_Riverine-Waterfall_empo_3.csv,-27.3237440772607,3.17363406580674e-165,8.13650884084964,8.21996874401983,0.00305448268488392,8.64161950005181,2.4417944647374e-18,26.292017969467,25.824974626556,0.0540458120041224
Beach,Terrestrial,../split_data/habisite_Terrestrial-Beach_empo_3.csv,-127.913099382986,0,8.16716130360045,8.52672854171325,0.00281102748543539,-26.9432839639535,1.01377581530677e-160,19.2307130643835,21.0041296438234,0.0658203573778322
Confluence,Terrestrial,../split_data/habisite_Terrestrial-Confluence_empo_3.csv,-101.162259884109,0,8.32290535047445,8.61258480026051,0.00286351303458345,-42.7631746071165,0,15.1919824371586,18.1828319642752,0.069939838531513
DrumRoad,Terrestrial,../split_data/habisite_Terrestrial-DrumRoad_empo_3.csv,-80.4581580382693,0,8.29787570477582,8.54339980918614,0.00305157500987706,-48.8182795372571,0,15.6424230588638,18.707151696359,0.0627783008034166
Entrance,Terrestrial,../split_data/habisite_Terrestrial-Entrance_empo_3.csv,-252.650214586328,0,8.33840289130344,8.85964268573552,0.00206308866701545,65.0127608874019,0,-56.121139211042,-69.5535946545772,0.206612598206672
Estuary,Terrestrial,../split_data/habisite_Terrestrial-Estuary_empo_3.csv,-75.8189073383624,0,8.51141566701293,8.72747736618554,0.00284970737191423,48.6066537158427,0,-18.1702316399679,-21.2332025536107,0.0630154655687487
Ridge,Terrestrial,../split_data/habisite_Terrestrial-Ridge_empo_3.csv,34.9253782308435,1.98849126204537e-268,7.91782864549605,7.7136193873366,0.00584701636757401,-17.0643505407616,8.38672241360528e-66,12.480753036661,13.5333147005025,0.061681905873137
Waterfall,Terrestrial,../split_data/habisite_Terrestrial-Waterfall_empo_3.csv,-75.5145635998159,0,7.85674680248254,8.1249305790779,0.00355141794921285,-32.7308668031273,4.72996916008036e-236,14.4419911478105,17.135466820484,0.0822916083730519
